"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ROBO2",62.6553996557672,-3.22915470105517,0.614341608627172,-5.25628519330011,0.000142521845591364,0.00603656866094207
"S100A7",571.406834054955,7.66326865376852,1.9238222601883,3.98335584962951,0.000269889121987734,0.009798222514853
"SAA1",7310.71303470797,-4.63858592114745,0.94422471447646,-4.91258685568233,5.82177789661844e-05,0.0032034116114983
"SAA2",3254.7811333726,-5.85794245154002,1.09464544613358,-5.35145189908841,4.54192925566285e-06,0.000388559799342127
"SCN3A",181.974736774683,-3.40299044366686,0.368825359193487,-9.22656308424181,3.62836762501068e-11,1.95943190399405e-08
"SCN4A",971.278875223052,-5.96249485817192,0.751653933152188,-7.93250004449147,2.02686177336012e-11,1.20779994156677e-08
"SCT",11.7115147710068,6.87587200837258,1.55551818515523,4.42030962671542,7.9431429370944e-05,0.00393310753856528
"CCL11",30.1256807248655,5.87857122868048,1.08416291688277,5.42222127056586,3.4001722757012e-06,0.0002997876382469
"CCL20",38.1669385614871,5.78630118238485,1.2581374002972,4.59910116416379,7.11444049057767e-05,0.00366998943634844
"SLC2A4",2379.3375643484,-7.31355152013172,0.973012432220122,-7.51640089885017,4.33002041340692e-11,2.13791665040243e-08
"SLC8A2",60.3963502160482,4.2358502413904,0.883057783142902,4.79679849071092,0.000123975703568758,0.00551992245143921
"SOD3",3561.38066100009,-4.42991781121339,0.506042719628594,-8.75403921325988,6.09585435142807e-12,4.78829359304675e-09
"SOX11",779.007962233468,5.49616897168181,1.12508060556297,4.88513351355092,3.21728379890423e-05,0.001985638618888
"AURKA",1147.19763173535,3.78347731624063,0.760183792880837,4.97705601155024,0.000125330155502605,0.00555341132625773
"SYCP1",15.4991020434378,-6.90411699343283,1.57169973595491,-4.39277098258094,8.63937291551916e-05,0.004193736049244
"TACC1",14514.2874686537,-2.82502834408979,0.470518147679593,-6.00407945585457,5.24945067003665e-05,0.00292869453382808
"TACR1",738.211094872579,-4.06399596125733,0.821203260406864,-4.94883076723761,9.53210484467094e-05,0.00445200821137185
"TDO2",82.9923174078766,4.96014553256874,0.975732772975717,5.08350817964396,2.46804463015682e-05,0.00159142833036343
"TFR2",115.28547188996,4.7678390172645,0.793205260433558,6.0108514845936,1.01636063132574e-06,0.000114050182272338
"TGFBR2",20446.1463939233,-2.85715956572687,0.437140200973726,-6.5360256488938,1.07636921211717e-05,0.000808312366334295
"TGFBR3",9738.91777337112,-4.00623073427681,0.634539923899802,-6.31359916592012,1.08103166903662e-06,0.00011783750614781
"THRSP",5949.74539819535,-5.44201531051199,0.961999163992332,-5.65698548835263,1.94211802208574e-06,0.000191781380226649
"TIMP4",6425.16880284052,-7.726074088256,1.07469615113456,-7.18907765706573,1.94246921689981e-10,7.99233584220134e-08
"TLL2",34.8315207174981,3.65770790291126,0.76651423784678,4.77187209618721,0.000262892354144699,0.00964552605514764
"CLDN5",1651.40932319216,-3.44688169689273,0.685833872943103,-5.02582598042469,0.000180032045529299,0.00735492619099718
"CLEC3B",4653.37686450063,-5.16683528495671,0.782996363510434,-6.59879857141617,5.14141668413215e-08,9.2550855956758e-06
"TNNI3",51.9516908440539,7.89221445032127,1.43795335215391,5.48850519976851,8.21544405679266e-07,9.46473924969559e-05
"TNNT1",705.759059135233,7.73090649294551,1.17301016444144,6.59065601245391,4.78590833680429e-09,1.25311033285326e-06
"TNNT3",303.582165900966,-5.24139224226389,1.18966976702253,-4.4057539222686,0.000181877724436143,0.00741280414146459
"TNS1",58547.3762257253,-3.74929467762202,0.681787432078258,-5.49921353961196,2.75955732777343e-05,0.00175323199195782
"TNXB",18001.1121141055,-5.37369296346528,0.782273316340113,-6.8693292372623,1.12880422130766e-08,2.63606293897536e-06
"TOP2A",5313.52181381856,4.40362223453926,0.879389203946321,5.00759187715483,5.43201794912378e-05,0.00299906396737406
"TPO",119.590423260023,-4.3842599149901,0.878659427904105,-4.9897147583655,5.86705788216558e-05,0.0032034116114983
"TSHR",90.2317795434518,-5.05677135087303,1.00684717452449,-5.02238222326168,2.79864339143259e-05,0.00177155151821782
